order,start_day,name,place,image,,,,
70,1127,宝塚メイク,食堂,images/1127/宝塚メイク.jpg,,,,
71,1127,クマノヅカ歌劇団,食堂北部,images/1127/クマノヅカ歌劇団.jpg,,,,
72,1127,民青池ティーパーティ事件,中庭と食堂,images/1127/民青池ティーパーティ事件.jpg,,,,
73,1127,ボヘミアン公演,食堂北部,images/1127/ボヘミアン公演.jpg,,,,
74,1127,イヤフォンガンガン伝言ゲーム,食堂,images/1127/イヤフォンガンガン伝言ゲーム.jpg,,,,
75,1127,寮祭ライブ,27日音楽室、3日・4日食堂,images/1127/寮祭ライブ.jpg,,,,
76,1127,推し曲を布教する,どこでも,images/1127/推し曲を布教する.jpg,,,,
77,1127,三河弁ⅠA(文法・演習),ロビー,images/1127/三河弁ⅠA(文法・演習).jpg,,,,
78,1127,鴨川等間隔を救いたい,三条～四条,images/1127/鴨川等間隔を救いたい.jpg,,,,
79,1127,談話室漫画頂上決戦,食堂,images/1127/談話室漫画頂上決戦.jpg,,,,
80,1127,二郎系ラーメンはしごの旅,一条寺,images/1127/二郎系ラーメンはしごの旅.jpg,,,,
81,1127,チャンダー占拠,チャンダー,images/1127/チャンダー占拠.jpg,,,,
82,1127,ローリング畳,どこでも,images/1127/ローリング畳.jpg,,,,
83,1127,言語再履の人だけで日本語禁止コンパ,食堂,images/1127/言語再履の人だけで日本語禁止コンパ.jpg,,,,
84,1127,ハマグリのガソリン焼き,中庭,images/1127/ハマグリのガソリン焼き.jpg,,,,
85,1127,夏の間に使わなかった蚊取り線香全部燃やす,駐輪場,images/1127/夏の間に使わなかった蚊取り線香全部燃やす.jpg,,,,
86,1128,闇温泉VS光温泉,中庭,images/1128/闇温泉VS光温泉.jpg,,,,
87,1128,ｎ段アイス,熊野寮,images/1128/ｎ段アイス.jpg,,,,
88,1128,ハラタク秋冠公開自己採点,食堂,images/1128/ハラタク秋冠公開自己採点.jpg,,,,
89,1128,鷲巣献血麻雀,どこでも,images/1128/鷲巣献血麻雀.jpg,,,,
90,1128,全寮にらめっこトーナメント,どこでも,images/1128/全寮にらめっこトーナメント.jpg,,,,
91,1128,NFLを題材に本物のタックルを勉強しよう,C12,images/1128/NFLを題材に本物のタックルを勉強しよう.jpg,,,,
92,1128,クマスマSP,食堂、食堂北部,images/1128/クマスマSP.jpg,,,,
93,1128,クソスマ２０２２,食堂、食堂北部,images/1128/クソスマ２０２２.jpg,,,,
94,1128,エクストリーム献血,食堂orロビー,images/1128/エクストリーム献血.jpg,,,,
95,1128,24時間連続即興演奏,クスノキ,images/1128/24時間連続即興演奏.jpg,,,,
96,1128,アルゴリズム行進,屋上,images/1128/アルゴリズム行進.jpg,,,,
97,1128,平安湯と連帯,平安湯,images/1128/平安湯と連帯.jpg,,,,
98,1128,勝手に京都市交通審議会,食堂,images/1128/勝手に京都市交通審議会.jpg,,,,
99,1128,かくれんぼ,食堂,images/1128/かくれんぼ.jpg,,,,
100,1128,寮食人気メニュー全部当てるまで帰れま10,食堂,images/1128/寮食人気メニュー全部当てるまで帰れま10.jpg,,,,
101,1128,この一吸いに命をかけろ！ききタバコ！,喫煙所,images/1128/この一吸いに命をかけろ！ききタバコ！.jpg,,,,
102,1128,３回生新歓,食堂,images/1128/３回生新歓.jpg,,,,
103,1128,少女歌劇レビュースタァライト上映会,食堂北部,images/1128/少女歌劇レビュースタァライト上映会.jpg,,,,
104,1128,狩猟コンパ,食堂or鉄扉,images/1128/狩猟コンパ.jpg,,,,
105,1128,鉄扉コンパ,鉄扉,images/1128/鉄扉コンパ.jpg,,,,
106,1128,松屋立命館大前店で食い逃げ,食堂,images/1128/松屋立命館大前店で食い逃げ.jpg,,,,
107,1128,京大構内でケイドロ,京大本部キャンパス,images/1128/京大構内でケイドロ.jpg,,,,
108,1128,ポストモダン焼,食堂,images/1128/ポストモダン焼.jpg,,,,
109,1128,二回生コンパ,食堂,images/1128/二回生コンパ.jpg,,,,
110,1128,テラフォーミングマーズ最強決定戦,食堂orB12談話室,images/1128/テラフォーミングマーズ最強決定戦.jpg,,,,
111,1128,プログラミング言語布教大会,食堂,images/1128/プログラミング言語布教大会.jpg,,,,
112,1128,音MADDJ2022冬の陣,音楽室,images/1128/音MADDJ2022冬の陣.jpg,,,,
113,1128,ゼロの使い魔上映会,食堂北部,images/1128/ゼロの使い魔上映会.jpg,,,,
114,1129,風船を死ぬほどつけて、空を飛ぶ,鴨川,images/1129/風船を死ぬほどつけて、空を飛ぶ.jpg,,,,
115,1129,学部選択ミスッた人座談会,食堂orロビー,images/1129/学部選択ミスッた人座談会.jpg,,,,
116,1129,人生ゲーム共産主義ver.をつくろう,どこでも,images/1129/人生ゲーム共産主義ver.をつくろう.jpg,,,,
117,1129,GODFIELD大会,食堂,images/1129/GODFIELD大会.jpg,,,,
118,1129,桑原、学校へ行こう,どこでも,images/1129/桑原、学校へ行こう.jpg,,,,
119,1129,生理的食塩水なら無限に飲める説,熊野寮,images/1129/生理的食塩水なら無限に飲める説.jpg,,,,
120,1129,逆競輪,東大路通,images/1129/逆競輪.jpg,,,,
121,1129,白髭参拝,白髭神社,images/1129/白髭参拝.jpg,,,,
122,1129,中核派と見る天元突破グレンラガン,食堂北部,images/1129/中核派と見る天元突破グレンラガン.jpg,,,,
123,1129,KUMANいくまん♪,熊野寮、川東自治連合会集会所,images/1129/KUMANいくまん♪.jpg,,,,
124,1129,利き茶、利き水、利きジュース,食堂？,images/1129/利き茶、利き水、利きジュース.jpg,,,,
125,1129,夜神月選手権,食堂,images/1129/夜神月選手権.jpg,,,,
126,1129,イグ・ノーベル賞論文を読む,食堂,images/1129/イグ・ノーベル賞論文を読む.jpg,,,,
127,1129,吉熊ライブ,吉田寮厨房,images/1129/吉熊ライブ.jpg,,,,
128,1129,スーパー蕪,食堂,images/1129/スーパー蕪.jpg,,,,
129,1129,逆評定ラボ,食堂北部,images/1129/逆評定ラボ.jpg,,,,
130,1129,熊野寮ビジネスバイク部,食堂,images/1129/熊野寮ビジネスバイク部.jpg,,,,
131,1129,熊野寮Splatoon3大会,クスノキ前,images/1129/熊野寮Splatoon3大会.jpg,,,,
132,1129,たま上映会,食堂北部orC12談話室,images/1129/たま上映会.jpg,,,,
133,1129,中古ポケモンで即興バトル,食堂,images/1129/中古ポケモンで即興バトル.jpg,,,,
134,1129,手作りコーラでマルスを満足させよう！,食堂,images/1129/手作りコーラでマルスを満足させよう！.jpg,,,,
135,1129,逆再生飲み会,どこでも,images/1129/逆再生飲み会.jpg,,,,
136,1129,モンエナ、作る,食堂,images/1129/モンエナ、作る.jpg,,,,
137,1129,数独,食堂,images/1129/数独.jpg,,,,
138,1130,５時間超えの映画、ハッピーアワーを見よう!!!,どこか,images/1130/５時間超えの映画、ハッピーアワーを見よう!!!.jpg,,,,
